kunnr,mart_miktar_ton,aygpay,hesnav,MRT 2026,fiil_nakliye_tl_ton,fob_tutar,ton_bası_karlılık
1004045,1.86,36486.3,5492.48,-37025.0,11974.3514356444,,10098.514585860976
1004064,2.46,36486.29,5492.49,-25215.0,13210.614735451125,,18518.165264548872
1004065,2.28,36486.29,5492.49,-296.0,11857.438173050652,,29991.51726554584
1005023,4.56,35734.05,5384.99,-105229.0,5616.876638027105,,12425.628274253595
1005031,6.36,35734.05,5384.99,-108470.0,5942.437387173615,,18121.571166285503
1005038,2.16,34919.8,4248.63,-3150.0,7032.387376522565,,30677.709290144103
1005040,3.42,35734.05,5384.99,-26224.0,,,33451.20374269006
1005047,42.35,35734.05,5384.99,-207642.0,5157.492630310876,14.882966216216216,31058.548550326672
1006151,4.2,35804.79,5335.09,-43993.0,3278.3097767272147,7.506815243243245,27387.046413748983
1006210,7.38,35824.98,5335.1,-66420.0,3131.9395447601805,,29028.140455239823
1006214,4.19,35804.79,5335.09,-109459.0,4784.19054093498,,10231.82311061634
1006285,1.94,35804.79,5335.08,-16524.0,5568.322997803268,,27054.021229000857
1006293,6.5,35804.78,5335.08,-104064.0,,2.6364864864864868,25130.013846153844
1006301,0.74,35804.79,5335.1,-5580.0,,2.6364864864864868,33599.34945945946
1006320,51.59,34285.2,5335.09,-2842116.0,,13.273338486486487,-15470.153884473737
1006322,1.08,35804.79,5335.09,-9180.0,,2.6364864864864868,32639.880000000005
1006328,2.16,35804.79,5335.09,-14040.0,5008.312980791676,,29631.567019208327
1006337,1.68,35804.79,5335.1,-10920.0,5212.623738975177,,29427.266261024823
1006348,1.8,34990.54,4198.73,-14850.0,3322.1041728695454,,27617.165827130462
1006383,2.16,35804.79,5335.09,-18360.0,5245.753667854486,,27394.12633214552
1006391,3.72,34990.54,4198.73,-57660.0,5571.704207080257,,18117.565792919748
1006392,55.4,33814.79,5335.1,-1068333.0,4168.599892650304,2.6364864864864868,15697.300937674609
1006413,7.8,34990.54,4198.73,-140047.0,4508.533171158163,,16725.993239098254
1006416,12.84,35804.79,5335.09,-205440.0,3980.767219100058,,21159.112780899944
1006423,0.6,34990.53,4198.73,-3600.0,,,33189.259999999995
1006478,4.68,35804.79,5335.09,-49140.0,4238.4101156094275,,26401.46988439058
1006480,6.12,35804.79,5335.09,-52020.0,5329.6712935471105,,27310.208706452897
1007011,30.6,35685.71,5433.32,-590585.0,4825.129165596938,,16993.73743571025
1007028,29.82,35685.71,5433.32,-399620.0,5128.444045174576,,22589.512849526967
1007033,1.56,35685.71,5433.32,-24791.0,6051.16877556237,,19176.194557770963
1007059,1.26,35685.71,5433.32,-11936.0,4024.6385353415963,,27621.37559164253
1007060,9.72,35685.71,5433.32,-91702.0,5689.838808707899,,25994.829051374403
1007062,8.54,35685.71,5433.32,-122514.0,4799.563044318819,,21973.565316336913
1007083,10.3,35685.71,5433.32,-185869.0,5398.465737528255,,17675.03028188922
1007087,10.99,35685.71,5433.32,-140804.0,5750.620431742601,,22556.39864924011
1007090,29.89,35685.71,5433.32,-575099.0,4936.431372948582,,16942.083404568984
1007091,10.22,35685.71,5433.32,-214534.0,5278.751544643188,,14848.693328155248
1007119,45.4,35685.71,5433.32,-756826.0,4218.156417216077,,20230.697371330174
1007121,0.58,35685.71,5433.33,-11740.0,,2.6364864864864868,20877.66068965517
1007124,9.56,35685.71,5433.32,-86817.0,,2.6364864864864868,32037.753849372384
1007130,14.5,35685.71,5433.32,-156343.0,,2.6364864864864868,30336.754137931035
1007132,28.32,35685.71,5433.32,-519834.0,,2.6364864864864868,22763.30966101695
1007133,10.61,35685.71,5433.32,-83889.0,,2.6364864864864868,33212.432450518376
1007139,6.64,35685.71,5433.32,-94630.0,,2.6364864864864868,26867.523975903612
1007141,7.08,35685.71,5433.32,-74822.0,,2.6364864864864868,30550.9509039548
1007142,5.09,35685.71,5433.32,-35029.0,,2.6364864864864868,34237.1046561886
1007144,14.71,35685.71,5433.32,-125300.0,,2.6364864864864868,32601.015044187625
1007147,17.59,35685.71,5433.32,-124950.0,,2.6364864864864868,34015.56212052303
1007150,8.28,35685.71,5433.32,-83342.0,,2.6364864864864868,31053.57106280193
1007156,5.94,34871.46,4296.96,-75845.0,4899.572996438498,,21500.328485042985
1007161,12.47,35685.71,5433.32,-178033.0,3947.4266957616683,,22894.698733268
1007168,12.74,35685.71,5433.32,-92378.0,,2.6364864864864868,33868.00959183673
1007169,6.54,35685.71,5433.32,-121251.0,4319.245945737637,,18259.875797381625
